"Area_mm2","Perimeter_mm","ECD_mm","angle","shade"
4703.8176,1157.619361,77.38918904,234,"angle"
5379.8472,490.9613502,82.76372514,234,"angle"
7807.6656,1157.136294,99.70470698,234,"angle"
4696.9056,469.3131912,77.33230856,234,"angle"
5655.4848,515.4861892,84.85745042,234,"angle"
6217.2864,525.3723057,88.97243902,234,"angle"
5243.6304,489.6596231,81.70922581,234,"angle"
12235.824,719.389028,124.8164051,300,"N"
12373.6968,1409.009907,125.5176485,300,"N"
17416.0944,813.4511722,148.9122564,300,"N"
8637.9696,551.7855441,104.8723247,300,"N"
18178.7328,833.6057519,152.1377056,300,"N"
16824.6792,1021.002003,146.3620405,300,"N"
15069.4128,785.4772359,138.5170469,300,"N"
15306.0984,811.507873,139.600608,300,"N"
14183.208,786.453213,134.3823697,300,"N"
14049.9,730.0273647,133.7493487,300,"N"
12847.5288,705.6152101,127.8983257,300,"N"
14409.7992,795.3904205,135.4515639,300,"N"
13396.8816,734.1105669,130.6041325,300,"N"
14585.6808,772.4971313,136.275697,300,"N"
5379.8472,490.9613502,82.76372514,300,"N"
7807.6656,1157.136294,99.70470698,300,"N"
4696.9056,469.3131912,77.33230856,300,"N"
5655.4848,515.4861892,84.85745042,300,"N"
6217.2864,525.3723057,88.97243902,300,"N"
5243.6304,489.6596231,81.70922581,300,"N"
14305.176,1865.734589,134.9589411,84,"N"
9219.9384,654.5235491,108.3475434,84,"N"
13754.736,775.6306609,132.3369707,84,"N"
12385.6272,776.7843197,125.5781443,84,"N"
15555.4128,868.0992692,140.7329624,84,"N"
14242.4496,729.119185,134.662727,84,"N"
12935.6424,716.5125176,128.3361658,84,"N"
15473.1024,808.0423993,140.3601292,84,"N"
9491.8536,713.7196721,109.9336316,84,"N"
9002.5992,594.523276,107.0629035,84,"N"
13478.5656,794.0537341,131.0016898,84,"N"
8733.4272,585.3848825,105.4502009,84,"N"
8314.8552,627.8122227,102.8921885,84,"N"
15375.5352,957.5431293,139.9169019,84,"N"
8016.8472,642.6198873,101.0315143,84,"N"
8396.064,598.5211163,103.3934268,84,"N"
14999.0112,821.0448202,138.1931047,84,"N"
13804.0416,788.9619713,132.5739478,84,"N"
